Type,Post Date,Description,Amount,Check or Slip #
DEBIT,05/18/2016,"UPWORK**BAL-15MAY 650-8534100 CA             05/16",-36.83,
DEBIT,05/18/2016,"Online Transfer to  SAV ...5998 transaction#: 5335286891",-3500.00,
DEBIT,05/18/2016,"TRELLO 866-364-2733 NY                       05/17",-45.00,
DEBIT,05/17/2016,"Chase QuickPay Electronic Transfer 5328711437 to Budget Nerd",-650.00,
DEBIT,05/16/2016,"BUZZSTREAM 512-6328401 TX                    05/12",-99.00,
DEBIT,05/16/2016,"WPCHRG.COM 8772733049 CA                     05/14",-5.00,
DEBIT,05/16/2016,"NON-CHASE ATM WITHDRAW               930032  05/143473 W 32",-303.50,
DEBIT,05/16/2016,"Chase QuickPay Electronic Transfer 5364316655 to Josh",-1062.50,
DEBIT,05/16/2016,"Chase QuickPay Electronic Transfer 5366359871 to Eric",-2100.00,
DEBIT,05/16/2016,"Audible US 888-283-5051 NJ                   05/16",-34.41,
DEBIT,05/16/2016,"123RF LLC 312-929-2581 IL                    05/13",-69.00,
DEBIT,05/16/2016,"GODADDY.COM 480-5058855 AZ                   05/13",-15.17,
DEBIT,05/16/2016,"DreamHost  dh-fee.com 877-8294070 CA         05/13",-11.95,
DEBIT,05/16/2016,"NON-CHASE ATM FEE-WITH",-2.50,
DEBIT,05/13/2016,"GREY PLUME OMAHA NE                          05/11",-173.13,
DEBIT,05/13/2016,"Chase QuickPay Electronic Transfer 5357977908 to Amanda",-480.00,
DEBIT,05/13/2016,"Chase QuickPay Electronic Transfer 5357977850 to Paul",-528.00,
DEBIT,05/13/2016,"Chase QuickPay Electronic Transfer 5357966726 to Nicole",-660.00,
CREDIT,05/12/2016,"BKCD PROCESSING  DEPOSIT    015208000866284 CCD ID: 9000477845",3000.00,
DEBIT,05/12/2016,"EAST BANK CLUB-EFT 000-0000000 IL            05/10",-389.77,
DEBIT,05/12/2016,"SHELL Service Station BRUSH CO       023115  05/12",-23.41,
DEBIT,05/12/2016,"BKCD PROCESSING  FEES       015208000866284 CCD ID: 9000477845",-135.30,
DEBIT,05/12/2016,"BITESIZE PR 312-5505716 IL                   05/10",-89.00,
DEBIT,05/12/2016,"GOTOCITRIX.COM 855-837-1750 CA               05/12",-39.20,
DEBIT,05/11/2016,"Beyond Hosting, LLC 513-299-7108 OH          05/09",-72.47,
DEBIT,05/11/2016,"GT FISH & OYSTER CHICAGO IL                  05/10",-228.46,
DEBIT,05/11/2016,"RAMEN-SAN CHICAGO IL                         05/10",-23.00,
CREDIT,05/10/2016,"BKCD PROCESSING  DEPOSIT    015208000866284 CCD ID: 9000477845",1750.00,
DEBIT,05/10/2016,"UPWORK**BAL-08MAY 650-8534100 CA             05/09",-87.83,
DEBIT,05/10/2016,"BKCD PROCESSING  FEES       015208000866284 CCD ID: 9000477845",-78.93,
DEBIT,05/10/2016,"BUFFER 415-539-0176 CA                       05/09",-10.00,
DEBIT,05/09/2016,"BUZZSTREAM 512-6328401 TX                    05/05",-29.00,
DEBIT,05/09/2016,"GRIND LLC BENJAMIN@GRIN NY                   05/07",-375.00,
DEBIT,05/09/2016,"ATT*BILL PAYMENT 800-288-2020 TX             05/06",-256.73,
DEBIT,05/09/2016,"TOOFR.COM 415-993-8663 CA                    05/05",-20.00,
DEBIT,05/09/2016,"DNH*GODADDY.COM 480-5058855 AZ               05/08",-15.17,
DEBIT,05/09/2016,"ADY*Spotify P000ADC0BB 646-8375380 NY        05/07",-9.99,
DEBIT,05/09/2016,"CUE SOCIAL LLC 330-552-8283 OH               05/05",-9.00,
CREDIT,05/06/2016,"AMERICAN EXPRESS SETTLEMENT 3128961497      CCD ID: 1134992250",2695.00,
DEBIT,05/06/2016,"SEMRUSH.COM 855-814-4510 PA                  05/04",-69.95,
DEBIT,05/06/2016,"Beyond Hosting, LLC 513-299-7108 OH          05/04",-15.00,
DEBIT,05/06/2016,"GOOGLE *Google Stora g.co/payhelp# CA        05/05",-2.17,
DEBIT,05/06/2016,"Payment to Chase card ending in 0832 05/06",-992.24,
DEBIT,05/06/2016,"TRUMAKER, INC. 855-623-3878 CA               05/05",-85.81,
DEBIT,05/06/2016,"GOOGLE*SVCS      APPS_EPICP 6931360         CCD ID: 0000854521",-81.16,
CREDIT,05/05/2016,"ATM CHECK DEPOSIT 05/05 500 N KINGSBURY ST CHICAGO IL",2000.00,
CREDIT,05/05/2016,"BKCD PROCESSING  FEES       015208000866284 CCD ID: 9000477845",45.67,
DEBIT,05/05/2016,"Online Transfer to  CHK ...0806 transaction#: 5341799123 05/05",-1950.00,
DEBIT,05/05/2016,"Chase QuickPay Electronic Transfer 5331142980 to Paul",-528.00,
DEBIT,05/04/2016,"UPWORK**BAL-01MAY 650-8534100 CA             05/02",-93.50,
DEBIT,05/04/2016,"MARIANOS FRESH MARKET CHICAGO IL             05/04 Purchase $31.38 Cash Back $60.00",-91.38,
DEBIT,05/04/2016,"BKCD PROCESSING  DEPOSIT    015208000866284 CCD ID: 9000477845",-1000.00,
DEBIT,05/04/2016,"BKCD PROCESSING  FEES       015208000866284 CCD ID: 9000477845",-90.77,
CREDIT,05/03/2016,"ATM CHECK DEPOSIT 05/03 2 N LA SALLE ST CHICAGO IL",3000.00,
CREDIT,05/03/2016,"BKCD PROCESSING  DEPOSIT    015208000866284 CCD ID: 9000477845",1000.00,
DEBIT,05/03/2016,"GOOGLE *SVCSAPPS_EPI CC@GOOGLE.COM CA        05/02",-10.00,
DEBIT,05/03/2016,"Beyond Hosting, LLC 513-299-7108 OH          05/01",-64.99,
DEBIT,05/03/2016,"BKCD PROCESSING  BKCD M DSC 271503371566    CCD ID: 9000477845",-73.64,
